PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
145,0,2,male,17.02,0,0,11.4884,,S
146,0,2,male,18.13,1,1,36.7526,,S
147,1,3,male,27.06,0,0,7.7821,,S
148,0,3,female,6.97,2,2,34.3762,,S
149,0,2,male,37.67,0,2,25.9965,C371,S
150,0,2,male,43.81,0,0,12.9892,,S
151,0,2,male,53.86,0,0,12.5139,,S
152,1,1,female,21.48,1,0,66.6193,C31,S
153,0,3,male,58.88,0,0,8.0364,,S
154,0,3,male,42.13,0,2,14.4901,,S
155,0,3,male,28.18,0,0,7.2985,,S
156,0,1,male,53.86,0,1,61.3956,,C
157,1,3,female,14.78,0,0,7.7196,,Q
158,0,3,male,30.41,0,0,8.0364,,S
159,0,3,male,28.18,0,0,8.6493,,S
160,0,3,male,28.18,6,2,69.571,,S
161,0,3,male,46.04,0,1,16.091,,S
162,1,2,female,41.58,0,0,15.7408,,S
163,0,3,male,25.95,0,0,7.7613,,S
164,0,3,male,15.9,0,0,8.6493,,S
165,0,3,male,,4,1,39.6917,,S
166,1,3,male,6.97,0,2,20.5184,,S
167,1,1,female,28.18,0,1,55.0128,C294,S
168,0,3,female,47.16,1,4,27.8976,,S
169,0,1,male,28.18,0,0,25.9215,,S
170,0,3,male,28.18,0,0,56.5094,,S
171,0,1,male,65.02,0,0,33.5007,C151,S
172,0,3,male,1.39,4,1,29.1233,,Q
173,1,3,female,,1,1,11.1215,,S
174,0,3,male,20.36,0,0,7.9114,,S
175,0,1,male,59.44,0,0,30.695,C168,C
176,0,3,male,17.02,1,1,7.8405,,S
177,0,3,male,28.18,3,1,25.4629,,S
178,0,1,female,52.74,0,0,28.7105,C65,C
179,0,2,male,30.41,0,0,12.9892,,S
180,0,3,male,37.11,0,0,-0.0181,,S
181,0,3,female,28.18,6,2,69.571,,S
182,0,2,male,28.18,0,0,15.0404,,C
183,0,3,male,6.97,4,2,31.387,,S
184,1,2,male,,2,1,39.0038,C384,S
185,1,3,female,1.39,0,2,22.0193,,S
186,0,1,male,28.18,0,0,50.01,C190,S
187,1,3,female,28.18,1,0,15.4906,,Q
188,1,1,male,47.16,0,0,26.5468,,S
189,0,3,male,41.58,1,1,15.4906,,Q
190,0,3,male,37.11,0,0,7.8821,,S
191,1,2,female,32.64,0,0,12.9892,,S
192,0,2,male,18.13,0,0,12.9892,,S
193,1,3,female,18.13,1,0,7.8405,,S
194,1,2,male,0.27,1,1,25.9965,C371,S
195,1,1,female,46.04,0,0,27.7183,C109,C
196,1,1,female,61.67,0,0,146.585,C45,C
197,0,3,male,28.18,0,0,7.7363,,Q
198,0,3,male,43.81,0,1,8.3908,,S
199,1,3,female,28.18,0,0,7.7363,,Q
200,0,2,female,23.71,0,0,12.9892,,S
201,0,3,male,28.18,0,0,9.4872,,S
202,0,3,male,28.18,6,2,69.571,,S
203,0,3,male,34.88,0,0,6.4814,,S
204,0,3,male,47.72,0,0,7.211,,C
205,1,3,male,17.02,0,0,8.0364,,S
206,0,3,female,,0,1,10.4503,C388,S
207,0,3,male,32.64,1,0,15.8408,,S
208,1,3,male,25.95,0,0,18.78,,C
209,1,3,female,14.78,0,0,7.7363,,Q
210,1,1,male,41.58,0,0,30.9993,C194,C
211,0,3,male,23.71,0,0,7.0359,,S
212,1,2,female,35.99,0,0,20.9937,,S
213,0,3,male,21.48,0,0,7.236,,S
214,0,2,male,30.41,0,0,12.9892,,S
215,0,3,male,28.18,1,0,7.7363,,Q
216,1,1,female,31.53,1,0,113.3205,C210,C
217,1,3,female,27.06,0,0,7.9114,,S
218,0,2,male,43.81,1,0,26.9971,,S
219,1,1,female,32.64,0,0,76.3165,C167,C
220,0,2,male,30.41,0,0,10.4878,,S
221,1,3,male,14.78,0,0,8.0364,,S
222,0,2,male,27.06,0,0,12.9892,,S
223,0,3,male,53.86,0,0,8.0364,,S
224,0,3,male,28.18,0,0,7.8821,,S
225,1,1,male,39.34,1,0,90.0325,C142,S
226,0,3,male,21.48,0,0,9.3372,,S
227,1,2,male,18.13,0,0,10.4878,,S
228,0,3,male,19.81,0,0,7.236,,S
229,0,2,male,17.02,0,0,12.9892,,S
230,0,3,female,28.18,3,1,25.4629,,S
231,1,1,female,35.99,1,0,83.5038,C112,S
232,0,3,male,29.3,0,0,7.7613,,S
233,0,2,male,62.79,0,0,13.4895,,S
234,1,3,female,2.5,4,2,31.387,,S
235,0,2,male,23.71,0,0,10.4878,,S
236,0,3,female,28.18,0,0,7.5362,,S
237,0,2,male,46.04,1,0,25.9965,,S
238,1,2,female,5.85,0,2,26.2467,,S
239,0,2,male,18.13,0,0,10.4878,,S
240,0,2,male,33.76,0,0,12.2638,,S
241,0,3,female,28.18,1,0,14.4442,,C
242,1,3,female,28.18,1,0,15.4906,,Q
243,0,2,male,29.3,0,0,10.4878,,S
244,0,3,male,21.48,0,0,7.1109,,S
245,0,3,male,30.41,0,0,7.211,,C
246,0,1,male,46.04,2,0,90.0325,C103,Q
247,0,3,female,24.83,0,0,7.7613,,S
248,1,2,female,23.71,0,2,14.4901,,S
249,1,1,male,38.23,1,1,52.5656,C205,S
250,0,2,male,57.2,1,0,25.9965,,S
251,0,3,male,28.18,0,0,7.236,,S
252,0,3,female,29.3,1,1,10.4503,C388,S
253,0,1,male,66.14,0,0,26.5468,C125,S
254,0,3,male,30.41,1,0,16.091,,S
255,0,3,female,42.69,0,2,20.2058,,S
256,1,3,female,29.3,0,2,15.2363,,C
257,1,1,female,28.18,0,0,79.2264,,C
258,1,1,female,30.41,0,0,86.5305,C58,S
259,1,1,female,35.99,0,0,512.5989,,C
260,1,2,female,52.74,0,1,25.9965,,S
261,0,3,male,28.18,0,0,7.7363,,Q
262,1,3,male,0.27,4,2,31.387,,S
263,0,1,male,54.97,1,1,79.6766,C341,S
264,0,1,male,41.58,0,0,-0.0181,C32,S
265,0,3,female,28.18,0,0,7.7363,,Q
266,0,2,male,37.11,0,0,10.4878,,S
267,0,3,male,14.78,4,1,39.6917,,S
268,1,3,male,24.83,1,0,7.7613,,S
269,1,1,female,61.67,0,1,153.5306,C14,S
270,1,1,female,35.99,0,0,135.6914,C150,S
271,0,1,male,28.18,0,0,30.9993,,S
272,1,3,male,24.83,0,0,-0.0181,,S
273,1,2,female,42.69,0,1,19.4929,,S
274,0,1,male,38.23,0,1,29.6986,C2,C
275,1,3,female,28.18,0,0,7.7363,,Q
276,1,1,female,67.25,1,0,77.984,C252,S
277,0,3,female,47.16,0,0,7.7363,,S
278,0,2,male,28.18,0,0,-0.0181,,S
279,0,3,male,4.74,4,1,29.1233,,Q
280,1,3,female,35.99,1,1,20.2433,,S
281,0,3,male,69.48,0,0,7.7363,,Q
282,0,3,male,28.18,0,0,7.8405,,S
283,0,3,male,14.78,0,0,9.4872,,S
284,1,3,male,18.13,0,0,8.0364,,S
285,0,1,male,28.18,0,0,25.9965,C215,S
286,0,3,male,33.76,0,0,8.6493,,C
287,1,3,male,30.41,0,0,9.4872,,S
288,0,3,male,21.48,0,0,7.8821,,S
289,1,2,male,43.81,0,0,12.9892,,S
290,1,3,female,21.48,0,0,7.7363,,Q
291,1,1,female,25.95,0,0,78.8762,,S
292,1,1,female,18.13,1,0,91.1123,C96,C
293,0,2,male,37.11,0,0,12.8641,C154,C
294,0,3,female,23.71,0,0,8.8369,,S
295,0,3,male,23.71,0,0,7.8821,,S
296,0,1,male,28.18,0,0,27.7183,,C
297,0,3,male,23.16,0,0,7.2152,,C
298,0,1,female,,1,2,151.617,C35,S
299,1,1,male,28.18,0,0,30.499,C11,S
300,1,1,female,52.74,0,1,247.6417,C75,C
301,1,3,female,28.18,0,0,7.7363,,Q
302,1,3,male,28.18,2,0,23.245,,Q
303,0,3,male,18.13,0,0,-0.0181,,S
304,1,2,female,28.18,0,0,12.3388,C265,Q
305,0,3,male,28.18,0,0,8.0364,,S
306,1,1,male,,1,2,151.617,C35,S
307,1,1,female,28.18,0,0,110.9275,,C
308,1,1,female,15.9,1,0,108.9431,C86,C
309,0,2,male,30.41,1,0,23.9954,,C
310,1,1,female,30.41,0,0,56.9431,C303,C
311,1,1,female,23.71,0,0,83.1869,C78,C
312,1,1,female,17.02,2,2,262.5043,C79,C
313,0,2,female,25.95,1,1,25.9965,,S
314,0,3,male,28.18,0,0,7.8821,,S
315,0,2,male,44.92,1,1,26.2467,,S
316,1,3,female,25.95,0,0,7.8405,,S
317,1,2,female,23.71,1,0,25.9965,,S
318,0,2,male,57.2,0,0,13.9898,,S
319,1,1,female,31.53,0,2,164.9412,C95,S
320,1,1,female,41.58,1,1,134.5575,C299,C
321,0,3,male,21.48,0,0,7.236,,S
322,0,3,male,27.06,0,0,7.8821,,S
323,1,2,female,30.41,0,0,12.3388,,Q
324,1,2,female,21.48,1,1,28.9982,,S
325,0,3,male,28.18,6,2,69.571,,S
326,1,1,female,37.11,0,0,135.6914,C48,C
327,0,3,male,65.02,0,0,6.2229,,S
328,1,2,female,37.11,0,0,12.9892,C154,S
329,1,3,female,31.53,1,1,20.5184,,S
330,1,1,female,14.78,0,1,57.9937,C156,C
331,1,3,female,28.18,2,0,23.245,,Q
332,0,1,male,47.72,0,0,28.4979,C10,S
333,0,1,male,39.34,0,1,153.5306,C133,S
334,0,3,male,14.78,2,0,17.992,,S
335,1,1,female,28.18,1,0,133.707,,S
336,0,3,male,28.18,0,0,7.8821,,S
337,0,1,male,29.3,1,0,66.6193,C31,S
338,1,1,female,42.69,0,0,134.5575,C311,C
339,1,3,male,47.16,0,0,8.0364,,S
340,0,1,male,47.16,0,0,35.5019,C392,S
341,1,2,male,,1,1,25.9965,C371,S
342,1,1,female,23.71,3,2,263.1296,C40,S
343,0,2,male,28.18,0,0,12.9892,,S
344,0,2,male,24.83,0,0,12.9892,,S
345,0,2,male,37.11,0,0,12.9892,,S
346,1,2,female,23.71,0,0,12.9892,C375,S
347,1,2,female,41.58,0,0,12.9892,,S
348,1,3,female,28.18,1,0,16.091,,S
349,1,3,male,0.27,1,1,15.8908,,S
350,0,3,male,43.81,0,0,8.6493,,S
351,0,3,male,22.6,0,0,9.2121,,S
352,0,1,male,28.18,0,0,35.0016,C23,S
353,0,3,male,13.67,1,1,7.2152,,C
354,0,3,male,24.83,1,0,17.7919,,S
355,0,3,male,28.18,0,0,7.211,,C
356,0,3,male,28.18,0,0,9.4872,,S
357,1,1,female,21.48,0,1,55.0128,C294,S
358,0,2,female,39.34,0,0,12.9892,,S
359,1,3,female,28.18,0,0,7.8655,,Q
360,1,3,female,28.18,0,0,7.8655,,Q
361,0,3,male,41.58,1,4,27.8976,,S
362,0,2,male,29.3,1,0,27.7183,,C
363,0,3,female,47.16,0,1,14.4442,,C
364,0,3,male,35.99,0,0,7.0359,,S
365,0,3,male,28.18,1,0,15.4906,,Q
366,0,3,male,30.41,0,0,7.236,,S
367,1,1,female,63.9,1,0,75.2742,C214,C
368,1,3,female,28.18,0,0,7.2152,,C
369,1,3,female,28.18,0,0,7.7363,,Q
370,1,1,female,23.71,0,0,69.3208,C126,C
371,1,1,male,24.83,1,0,55.4548,C328,C
372,0,3,male,17.02,1,0,6.4814,,S
373,0,3,male,18.13,0,0,8.0364,,S
374,0,1,male,21.48,0,0,135.6914,,C
375,0,3,female,0.27,3,1,21.0687,,S
376,1,1,female,28.18,1,0,82.1989,,C
377,1,3,female,21.48,0,0,7.236,,S
378,0,1,male,27.06,0,2,211.6007,C108,C
379,0,3,male,19.25,0,0,3.9967,,C
380,0,3,male,18.13,0,0,7.7613,,S
381,1,1,female,43.81,0,0,227.6347,,C
382,1,3,female,,0,2,15.7325,,C
383,0,3,male,32.64,0,0,7.9114,,S
384,1,1,female,35.99,1,0,52.0111,,S
385,0,3,male,28.18,0,0,7.8821,,S
386,0,2,male,17.02,0,0,73.5232,,S
387,0,3,male,,5,2,46.9083,,S
388,1,2,female,37.11,0,0,12.9892,,S
389,0,3,male,28.18,0,0,7.7155,,Q
390,1,2,female,15.9,0,0,11.9887,,C
391,1,1,male,37.11,1,2,120.0493,,S
392,1,3,male,20.36,0,0,7.7821,,S
393,0,3,male,28.18,2,0,7.9114,,S
394,1,1,female,22.6,1,0,113.3205,C210,C
395,1,3,female,23.71,0,2,16.6913,C388,S
396,0,3,male,21.48,0,0,7.7821,,S
397,0,3,female,31.53,0,0,7.8405,,S
398,0,2,male,48.27,0,0,25.9965,,S
399,0,2,male,22.6,0,0,10.4878,,S
400,1,2,female,28.18,0,0,12.639,,S
401,1,3,male,40.46,0,0,7.9114,,S
402,0,3,male,25.95,0,0,8.0364,,S
403,0,3,female,20.36,1,0,9.8124,,S
404,0,3,male,28.18,1,0,15.8408,,S
405,0,3,female,19.25,0,0,8.6493,,S
406,0,2,male,34.88,1,0,20.9937,,S
407,0,3,male,53.86,0,0,7.7363,,S
408,1,2,male,0.27,1,1,18.7424,,S
409,0,3,male,20.36,0,0,7.7613,,S
410,0,3,female,28.18,3,1,25.4629,,S
411,0,3,male,28.18,0,0,7.8821,,S
412,0,3,male,28.18,0,0,6.8441,,Q
413,1,1,female,33.76,1,0,90.0325,C103,Q
414,0,2,male,28.18,0,0,-0.0181,,S
415,1,3,male,46.04,0,0,7.9114,,S
416,0,3,female,28.18,0,0,8.0364,,S
417,1,2,female,34.88,1,1,32.5002,,S
418,1,2,female,17.02,0,2,12.9892,,S
419,0,2,male,30.41,0,0,12.9892,,S
420,0,3,female,8.08,0,2,24.1455,,S
421,0,3,male,28.18,0,0,7.8821,,C
422,0,3,male,20.36,0,0,7.7196,,Q
423,0,3,male,29.3,0,0,7.8613,,S
424,0,3,female,28.18,1,1,14.39,,S
425,0,3,male,17.02,1,1,20.2058,,S
426,0,3,male,28.18,0,0,7.236,,S
427,1,2,female,28.18,1,0,25.9965,,S
428,1,2,female,18.13,0,0,25.9965,,S
429,0,3,male,28.18,0,0,7.7363,,Q
430,1,3,male,32.64,0,0,8.0364,C260,S
431,1,1,male,28.18,0,0,26.5468,C74,S
432,1,3,female,28.18,1,0,16.091,,S
433,1,2,female,43.81,1,0,25.9965,,S
434,0,3,male,15.9,0,0,7.1109,,S
435,0,1,male,52.74,1,0,55.9133,C316,S
436,1,1,female,12.55,1,2,120.0493,,S
437,0,3,female,20.36,2,2,34.3762,,S
438,1,2,female,23.71,2,3,18.7424,,S
439,0,1,male,68.37,1,4,263.1296,C40,S
440,0,2,male,31.53,0,0,10.4878,,S
441,1,2,female,47.16,1,1,26.2467,,S
442,0,3,male,19.25,0,0,9.4872,,S
443,0,3,male,24.83,1,0,7.7613,,S
444,1,2,female,28.18,0,0,12.9892,,S
445,1,3,male,28.18,0,0,8.099,,S
446,1,1,male,1.39,0,2,81.8862,C185,S
447,1,2,female,11.43,0,1,19.4929,,S
448,1,1,male,34.88,0,0,26.5468,,S
449,1,3,female,2.5,2,1,19.251,,C
450,1,1,male,54.97,0,0,30.499,C15,S
451,0,2,male,37.11,1,2,27.7475,,S
452,0,3,male,28.18,1,0,19.9598,,S
453,0,1,male,30.41,0,0,27.7475,C3,C
454,1,1,male,51.62,1,0,89.1362,C137,C
455,0,3,male,28.18,0,0,8.0364,,S
456,1,3,male,29.3,0,0,7.8821,,C
457,0,1,male,69.48,0,0,26.5468,C307,S
458,1,1,female,28.18,1,0,51.8735,C184,S
459,1,2,female,52.74,0,0,10.4878,,S
460,0,3,male,28.18,0,0,7.7363,,Q
461,1,1,male,50.51,0,0,26.5468,C269,S
462,0,3,male,34.88,0,0,8.0364,,S
463,0,1,male,49.39,0,0,38.5035,C337,S
464,0,2,male,50.51,0,0,12.9892,,S
465,0,3,male,28.18,0,0,8.0364,,S
466,0,3,male,39.34,0,0,7.0359,,S
467,0,2,male,28.18,0,0,-0.0181,,S
468,0,1,male,59.44,0,0,26.5468,,S
469,0,3,male,28.18,0,0,7.7113,,Q
470,1,3,female,,2,1,19.251,,C
471,0,3,male,28.18,0,0,7.236,,S
472,0,3,male,39.34,0,0,8.6493,,S
473,1,2,female,33.76,1,2,27.7475,,S
474,1,2,female,22.6,0,0,13.7814,C154,C
475,0,3,female,21.48,0,0,9.8249,,S
476,0,1,male,28.18,0,0,52.0111,C223,S
477,0,2,male,34.88,1,0,20.9937,,S
478,0,3,male,29.3,1,0,7.0317,,S
479,0,3,male,21.48,0,0,7.5069,,S
480,1,3,female,,0,1,12.2763,,S
481,0,3,male,6.97,5,2,46.9083,,S
482,0,2,male,28.18,0,0,-0.0181,,S
483,0,3,male,52.74,0,0,8.0364,,S
484,1,3,female,67.25,0,0,9.5748,,S
485,1,1,male,24.83,1,0,91.1123,C96,C
486,0,3,female,28.18,3,1,25.4629,,S
487,1,1,female,35.99,1,0,90.0325,C142,S
488,0,1,male,61.67,0,0,29.6986,C122,C
489,0,3,male,30.41,0,0,8.0364,,S
490,1,3,male,6.97,1,1,15.8908,,S
491,0,3,male,28.18,1,0,19.9598,,S
492,0,3,male,20.36,0,0,7.236,,S
493,0,1,male,58.32,0,0,30.499,C44,S
494,0,1,male,76.18,0,0,49.5139,,C
495,0,3,male,20.36,0,0,8.0364,,S
496,0,3,male,28.18,0,0,14.4483,,C
497,1,1,female,57.2,1,0,78.2926,C180,C
498,0,3,male,28.18,0,0,15.0904,,S
499,0,1,female,24.83,1,2,151.617,C35,S
500,0,3,male,23.71,0,0,7.7821,,S
501,0,3,male,15.9,0,0,8.6493,,S
502,0,3,female,20.36,0,0,7.7363,,Q
503,0,3,female,28.18,0,0,7.6154,,Q
504,0,3,female,38.23,0,0,9.5748,,S
505,1,1,female,14.78,0,0,86.5305,C49,S
506,0,1,male,17.02,1,0,108.9431,C86,C
507,1,2,female,33.76,0,2,25.9965,,S
508,1,1,male,28.18,0,0,26.5468,,S
509,0,3,male,28.18,0,0,22.5196,,S
510,1,3,male,25.95,0,0,56.5094,,S
511,1,3,male,29.3,0,0,7.7363,,Q
512,0,3,male,28.18,0,0,8.0364,,S
513,1,1,male,37.11,0,0,26.2842,C286,S
514,1,1,female,57.2,1,0,59.4153,,C
515,0,3,male,23.71,0,0,7.4819,,S
516,0,1,male,49.39,0,0,34.0218,C222,S
517,1,2,female,34.88,0,0,10.4878,C375,S
518,0,3,male,28.18,0,0,24.1455,,Q
519,1,2,female,37.11,1,0,25.9965,,S
520,0,3,male,32.64,0,0,7.8821,,S
521,1,1,female,30.41,0,0,93.5344,C62,S
522,0,3,male,21.48,0,0,7.8821,,S
523,0,3,male,28.18,0,0,7.211,,C
524,1,1,female,46.04,0,1,57.9937,C156,C
525,0,3,male,28.18,0,0,7.2152,,C
526,0,3,male,42.13,0,0,7.7363,,Q
527,1,2,female,52.74,0,0,10.4878,,S
528,0,1,male,28.18,0,0,221.8857,C146,S
529,0,3,male,40.46,0,0,7.9114,,S
530,0,2,male,22.6,2,1,11.4884,,S
531,1,2,female,,1,1,25.9965,,S
532,0,3,male,28.18,0,0,7.2152,,C
533,0,3,male,15.9,1,1,7.2152,,C
534,1,3,female,28.18,0,2,22.3528,,C
535,0,3,female,30.41,0,0,8.6493,,S
536,1,2,female,4.74,0,2,26.2467,,S
537,0,1,male,47.16,0,0,26.5468,C117,S
538,1,1,female,30.41,0,0,106.4667,,C
539,0,3,male,28.18,0,0,14.4901,,S
540,1,1,female,21.48,0,2,49.5097,C113,C
541,1,1,female,37.11,0,2,71.0218,C143,S
542,0,3,female,6.97,4,2,31.2745,,S
543,0,3,female,9.2,4,2,31.2745,,S
544,1,2,male,32.64,1,0,25.9965,,S
545,0,1,male,52.74,1,0,106.4667,C120,C
546,0,1,male,68.37,0,0,25.9965,,S
547,1,2,female,18.13,1,0,25.9965,,S
548,1,2,male,28.18,0,0,13.8522,,C
549,0,3,male,33.76,1,1,20.5184,,S
550,1,2,male,5.85,1,1,36.7526,,S
551,1,1,male,15.9,0,2,110.9275,C99,C
552,0,2,male,27.06,0,0,25.9965,,S
553,0,3,male,28.18,0,0,7.8155,,Q
554,1,3,male,21.48,0,0,7.211,,C
555,1,3,female,21.48,0,0,7.7613,,S
556,0,1,male,66.14,0,0,26.5468,,S
557,1,1,female,50.51,1,0,39.6042,C219,C
558,0,1,male,28.18,0,0,227.6347,,C
559,1,1,female,40.46,1,1,79.6766,C341,S
560,1,3,female,37.11,1,0,17.3917,,S
561,0,3,male,28.18,0,0,7.7363,,Q
562,0,3,male,41.58,0,0,7.8821,,S
563,0,2,male,28.18,0,0,13.4895,,S
564,0,3,male,28.18,0,0,8.0364,,S
565,0,3,female,28.18,0,0,8.0364,,S
566,0,3,male,23.71,2,0,24.1455,,S
567,0,3,male,18.13,0,0,7.8821,,S
568,0,3,female,29.3,0,4,21.0687,,S
569,0,3,male,28.18,0,0,7.2152,,C
570,1,3,male,32.64,0,0,7.8405,,S
